agency_cd,site_no,datetime,gage_height,qual_code
USGS,10337000,1/30/58,7.38,A
USGS,10337000,1/31/58,7.37,A
USGS,10337000,2/1/58,7.37,A
USGS,10337000,2/2/58,7.4,A
USGS,10337000,2/3/58,7.45,A
USGS,10337000,2/4/58,7.45,A
USGS,10337000,2/5/58,7.47,A
USGS,10337000,2/6/58,7.45,A
USGS,10337000,2/7/58,7.48,A
USGS,10337000,2/8/58,7.5,A
USGS,10337000,2/9/58,7.52,A
USGS,10337000,2/10/58,7.5,A
USGS,10337000,2/11/58,7.51,A
USGS,10337000,2/12/58,7.62,A
USGS,10337000,2/13/58,7.6,A
USGS,10337000,2/14/58,7.62,A
USGS,10337000,2/15/58,7.62,A
USGS,10337000,2/16/58,7.62,A
USGS,10337000,2/17/58,7.62,A
USGS,10337000,2/18/58,7.62,A
USGS,10337000,2/19/58,7.62,A
USGS,10337000,2/20/58,7.62,A
USGS,10337000,2/21/58,7.62,A
USGS,10337000,2/22/58,7.62,A
USGS,10337000,2/23/58,7.62,A
USGS,10337000,2/24/58,7.75,A
USGS,10337000,2/25/58,7.76,A
USGS,10337000,2/26/58,7.83,A
USGS,10337000,2/27/58,7.88,A
USGS,10337000,2/28/58,7.92,A
USGS,10337000,3/1/58,7.88,A
USGS,10337000,3/2/58,7.87,A
USGS,10337000,3/3/58,7.87,A
USGS,10337000,3/4/58,7.86,A
USGS,10337000,3/5/58,7.87,A
USGS,10337000,3/6/58,7.87,A
USGS,10337000,3/7/58,7.85,A
USGS,10337000,3/8/58,7.86,A
USGS,10337000,3/9/58,7.86,A
USGS,10337000,3/10/58,7.87,A
USGS,10337000,3/11/58,7.87,A
USGS,10337000,3/12/58,7.88,A
USGS,10337000,3/13/58,7.89,A
USGS,10337000,3/14/58,7.95,A
USGS,10337000,3/15/58,7.98,A
USGS,10337000,3/16/58,8,A
USGS,10337000,3/17/58,8,A
USGS,10337000,3/18/58,8,A
USGS,10337000,3/19/58,8.01,A
USGS,10337000,3/20/58,8.06,A
USGS,10337000,3/21/58,8.1,A
USGS,10337000,3/22/58,8.11,A
USGS,10337000,3/23/58,8.11,A
USGS,10337000,3/24/58,8.12,A
USGS,10337000,3/25/58,8.12,A
USGS,10337000,3/26/58,8.12,A
USGS,10337000,3/27/58,8.13,A
USGS,10337000,3/28/58,8.13,A
USGS,10337000,3/29/58,8.15,A
USGS,10337000,3/30/58,8.24,A
USGS,10337000,3/31/58,8.25,A
USGS,10337000,4/1/58,8.32,A
USGS,10337000,4/2/58,8.47,A
USGS,10337000,4/3/58,8.53,A
USGS,10337000,4/4/58,8.59,A
USGS,10337000,4/5/58,8.56,A
USGS,10337000,4/6/58,8.52,A
USGS,10337000,4/7/58,8.5,A
USGS,10337000,4/8/58,8.49,A
USGS,10337000,4/9/58,8.46,A
USGS,10337000,4/10/58,8.44,A
USGS,10337000,4/11/58,8.4,A
USGS,10337000,4/12/58,8.38,A
USGS,10337000,4/13/58,8.35,A
USGS,10337000,4/14/58,8.32,A
USGS,10337000,4/15/58,8.29,A
USGS,10337000,4/16/58,8.27,A
USGS,10337000,4/17/58,8.25,A
USGS,10337000,4/18/58,8.26,A
USGS,10337000,4/19/58,8.27,A
USGS,10337000,4/20/58,8.25,A
USGS,10337000,4/21/58,8.23,A
USGS,10337000,4/22/58,8.21,A
USGS,10337000,4/23/58,8.18,A
USGS,10337000,4/24/58,8.17,A
USGS,10337000,4/25/58,8.15,A
USGS,10337000,4/26/58,8.13,A
USGS,10337000,4/27/58,8.12,A
USGS,10337000,4/28/58,8.12,A
USGS,10337000,4/29/58,8.1,A
USGS,10337000,4/30/58,8.08,A
USGS,10337000,5/1/58,8.07,A
USGS,10337000,5/2/58,8.05,A
USGS,10337000,5/3/58,8.03,A
USGS,10337000,5/4/58,8.05,A
USGS,10337000,5/5/58,8.07,A
USGS,10337000,5/6/58,8.07,A
USGS,10337000,5/7/58,8.08,A
USGS,10337000,5/8/58,8.07,A
USGS,10337000,5/9/58,8.08,A
USGS,10337000,5/10/58,8.09,A
USGS,10337000,5/11/58,8.12,A
USGS,10337000,5/12/58,8.12,A
USGS,10337000,5/13/58,8.13,A
USGS,10337000,5/14/58,8.12,A
USGS,10337000,5/15/58,8.12,A
USGS,10337000,5/16/58,8.13,A
USGS,10337000,5/17/58,8.14,A
USGS,10337000,5/18/58,8.15,A
USGS,10337000,5/19/58,8.19,A
USGS,10337000,5/20/58,8.2,A
USGS,10337000,5/21/58,8.22,A
USGS,10337000,5/22/58,8.25,A
USGS,10337000,5/23/58,8.27,A
USGS,10337000,5/24/58,8.31,A
USGS,10337000,5/25/58,8.32,A
USGS,10337000,5/26/58,8.33,A
USGS,10337000,5/27/58,8.33,A
USGS,10337000,5/28/58,8.36,A
USGS,10337000,5/29/58,8.37,A
USGS,10337000,5/30/58,8.36,A
USGS,10337000,5/31/58,8.35,A
USGS,10337000,6/1/58,8.35,A
USGS,10337000,6/2/58,8.36,A
USGS,10337000,6/3/58,8.36,A
USGS,10337000,6/4/58,8.37,A
USGS,10337000,6/5/58,8.36,A
USGS,10337000,6/6/58,8.37,A
USGS,10337000,6/7/58,8.41,A
USGS,10337000,6/8/58,8.42,A
USGS,10337000,6/9/58,8.45,A
USGS,10337000,6/10/58,8.47,A
USGS,10337000,6/11/58,8.5,A
USGS,10337000,6/12/58,8.53,A
USGS,10337000,6/13/58,8.55,A
USGS,10337000,6/14/58,8.57,A
USGS,10337000,6/15/58,8.58,A
USGS,10337000,6/16/58,8.63,A
USGS,10337000,6/17/58,8.64,A
USGS,10337000,6/18/58,8.7,A
USGS,10337000,6/19/58,8.72,A
USGS,10337000,6/20/58,8.75,A
USGS,10337000,6/21/58,8.77,A
USGS,10337000,6/22/58,8.8,A
USGS,10337000,6/23/58,8.81,A
USGS,10337000,6/24/58,8.83,A
USGS,10337000,6/25/58,8.85,A
USGS,10337000,6/26/58,8.86,A
USGS,10337000,6/27/58,8.9,A
USGS,10337000,6/28/58,8.87,A
USGS,10337000,6/29/58,8.88,A
USGS,10337000,6/30/58,8.88,A
USGS,10337000,7/1/58,8.85,A
USGS,10337000,7/2/58,8.89,A
USGS,10337000,7/3/58,8.89,A
USGS,10337000,7/4/58,8.9,A
USGS,10337000,7/5/58,8.91,A
USGS,10337000,7/6/58,8.91,A
USGS,10337000,7/7/58,8.92,A
USGS,10337000,7/8/58,8.93,A
USGS,10337000,7/9/58,8.94,A
USGS,10337000,7/10/58,8.95,A
USGS,10337000,7/11/58,8.95,A
USGS,10337000,7/12/58,8.95,A
USGS,10337000,7/13/58,8.95,A
USGS,10337000,7/14/58,8.94,A
USGS,10337000,7/15/58,8.95,A
USGS,10337000,7/16/58,8.92,A
USGS,10337000,7/17/58,8.97,A
USGS,10337000,7/18/58,8.96,A
USGS,10337000,7/19/58,8.97,A
USGS,10337000,7/20/58,8.98,A
USGS,10337000,7/21/58,8.98,A
USGS,10337000,7/22/58,9.03,A
USGS,10337000,7/23/58,9.03,A
USGS,10337000,7/24/58,9.05,A
USGS,10337000,7/25/58,9.04,A
USGS,10337000,7/26/58,9.05,A
USGS,10337000,7/27/58,9.05,A
USGS,10337000,7/28/58,9.05,A
USGS,10337000,7/29/58,9.04,A
USGS,10337000,7/30/58,9.04,A
USGS,10337000,7/31/58,9.03,A
USGS,10337000,8/1/58,9.04,A
USGS,10337000,8/2/58,9.03,A
USGS,10337000,8/3/58,9.02,A
USGS,10337000,8/4/58,9.01,A
USGS,10337000,8/5/58,9,A
USGS,10337000,8/6/58,9,A
USGS,10337000,8/7/58,8.99,A
USGS,10337000,8/8/58,8.99,A
USGS,10337000,8/9/58,8.99,A
USGS,10337000,8/10/58,8.99,A
USGS,10337000,8/11/58,8.98,A
USGS,10337000,8/12/58,8.96,A
USGS,10337000,8/13/58,8.95,A
USGS,10337000,8/14/58,8.95,A
USGS,10337000,8/15/58,8.95,A
USGS,10337000,8/16/58,8.94,A
USGS,10337000,8/17/58,8.94,A
USGS,10337000,8/18/58,8.94,A
USGS,10337000,8/19/58,8.97,A
USGS,10337000,8/20/58,8.98,A
USGS,10337000,8/21/58,8.95,A
USGS,10337000,8/22/58,8.96,A
USGS,10337000,8/23/58,8.95,A
USGS,10337000,8/24/58,8.93,A
USGS,10337000,8/25/58,8.93,A
USGS,10337000,8/26/58,8.91,A
USGS,10337000,8/27/58,8.9,A
USGS,10337000,8/28/58,8.89,A
USGS,10337000,8/29/58,8.87,A
USGS,10337000,8/30/58,8.87,A
USGS,10337000,8/31/58,8.86,A
USGS,10337000,9/1/58,8.83,A
USGS,10337000,9/2/58,8.83,A
USGS,10337000,9/3/58,8.79,A
USGS,10337000,9/4/58,8.75,A
USGS,10337000,9/5/58,8.76,A
USGS,10337000,9/6/58,8.74,A
USGS,10337000,9/7/58,8.76,A
USGS,10337000,9/8/58,8.76,A
USGS,10337000,9/9/58,8.7,A
USGS,10337000,9/10/58,8.68,A
USGS,10337000,9/11/58,8.65,A
USGS,10337000,9/12/58,8.62,A
USGS,10337000,9/13/58,8.55,A
USGS,10337000,9/14/58,8.57,A
USGS,10337000,9/15/58,8.52,A
USGS,10337000,9/16/58,8.51,A
USGS,10337000,9/17/58,8.5,A
USGS,10337000,9/18/58,8.48,A
USGS,10337000,9/19/58,8.46,A
USGS,10337000,9/20/58,8.46,A
USGS,10337000,9/21/58,8.43,A
USGS,10337000,9/22/58,8.41,A
USGS,10337000,9/23/58,8.38,A
USGS,10337000,9/24/58,8.37,A
USGS,10337000,9/25/58,8.33,A
USGS,10337000,9/26/58,8.32,A
USGS,10337000,9/27/58,8.29,A
USGS,10337000,9/28/58,8.28,A
USGS,10337000,9/29/58,8.28,A
USGS,10337000,9/30/58,8.25,A
USGS,10337000,10/1/58,8.25,A
USGS,10337000,10/2/58,8.22,A
USGS,10337000,10/3/58,8.21,A
USGS,10337000,10/4/58,8.2,A
USGS,10337000,10/5/58,8.18,A
USGS,10337000,10/6/58,8.17,A
USGS,10337000,10/7/58,8.15,A
USGS,10337000,10/8/58,8.14,A
USGS,10337000,10/9/58,8.12,A
USGS,10337000,10/10/58,8.1,A
USGS,10337000,10/11/58,8.08,A
USGS,10337000,10/12/58,8.07,A
USGS,10337000,10/13/58,8.06,A
USGS,10337000,10/14/58,8.05,A
USGS,10337000,10/15/58,8.04,A
USGS,10337000,10/16/58,8.02,A
USGS,10337000,10/17/58,7.99,A
USGS,10337000,10/18/58,8,A
USGS,10337000,10/19/58,7.95,A
USGS,10337000,10/20/58,7.9,A
USGS,10337000,10/21/58,7.88,A
USGS,10337000,10/22/58,7.87,A
USGS,10337000,10/23/58,7.86,A
USGS,10337000,10/24/58,7.85,A
USGS,10337000,10/25/58,7.84,A
USGS,10337000,10/26/58,7.83,A
USGS,10337000,10/27/58,7.81,A
USGS,10337000,10/28/58,7.8,A
USGS,10337000,10/29/58,7.77,A
USGS,10337000,10/30/58,7.76,A
USGS,10337000,10/31/58,7.74,A
USGS,10337000,11/1/58,7.72,A
USGS,10337000,11/2/58,7.71,A
USGS,10337000,11/3/58,7.7,A
USGS,10337000,11/4/58,7.69,A
USGS,10337000,11/5/58,7.68,A
USGS,10337000,11/6/58,7.67,A
USGS,10337000,11/7/58,7.66,A
USGS,10337000,11/8/58,7.65,A
USGS,10337000,11/9/58,7.62,A
USGS,10337000,11/10/58,7.63,A
USGS,10337000,11/11/58,7.59,A
USGS,10337000,11/12/58,7.59,A
USGS,10337000,11/13/58,7.54,A
USGS,10337000,11/14/58,7.61,A
USGS,10337000,11/15/58,7.57,A
USGS,10337000,11/16/58,7.54,A
USGS,10337000,11/17/58,7.54,A
USGS,10337000,11/18/58,7.54,A
USGS,10337000,11/19/58,7.54,A
USGS,10337000,11/20/58,7.56,A
USGS,10337000,11/21/58,7.54,A
USGS,10337000,11/22/58,7.52,A
USGS,10337000,11/23/58,7.5,A
USGS,10337000,11/24/58,7.48,A
USGS,10337000,11/25/58,7.47,A
USGS,10337000,11/26/58,7.48,A
USGS,10337000,11/27/58,7.46,A
USGS,10337000,11/28/58,7.45,A
USGS,10337000,11/29/58,7.45,A
USGS,10337000,11/30/58,7.45,A
USGS,10337000,12/1/58,7.44,A
USGS,10337000,12/2/58,7.43,A
USGS,10337000,12/3/58,7.42,A
USGS,10337000,12/4/58,7.41,A
USGS,10337000,12/5/58,7.4,A
USGS,10337000,12/6/58,7.4,A
USGS,10337000,12/7/58,7.38,A
USGS,10337000,12/8/58,7.37,A
USGS,10337000,12/9/58,7.37,A
USGS,10337000,12/10/58,7.36,A
USGS,10337000,12/11/58,7.36,A
USGS,10337000,12/12/58,7.35,A
USGS,10337000,12/13/58,7.35,A
USGS,10337000,12/14/58,7.34,A
USGS,10337000,12/15/58,7.34,A
USGS,10337000,12/16/58,7.33,A
USGS,10337000,12/17/58,7.32,A
USGS,10337000,12/18/58,7.32,A
USGS,10337000,12/19/58,7.31,A
USGS,10337000,12/20/58,7.28,A
USGS,10337000,12/21/58,7.28,A
USGS,10337000,12/22/58,7.3,A
USGS,10337000,12/23/58,7.28,A
USGS,10337000,12/24/58,7.27,A
USGS,10337000,12/25/58,7.27,A
USGS,10337000,12/26/58,7.25,A
USGS,10337000,12/27/58,7.3,A
USGS,10337000,12/28/58,7.29,A
USGS,10337000,12/29/58,7.25,A
USGS,10337000,12/30/58,7.25,A
USGS,10337000,12/31/58,7.24,A
USGS,10337000,1/1/59,7.23,A
USGS,10337000,1/2/59,7.21,A
USGS,10337000,1/3/59,7.2,A
USGS,10337000,1/4/59,7.16,A
USGS,10337000,1/5/59,7.22,A
USGS,10337000,1/6/59,7.24,A
USGS,10337000,1/7/59,7.21,A
USGS,10337000,1/8/59,7.22,A
USGS,10337000,1/9/59,7.32,A
USGS,10337000,1/10/59,7.36,A
USGS,10337000,1/11/59,7.35,A
USGS,10337000,1/12/59,7.39,A
USGS,10337000,1/13/59,7.39,A
USGS,10337000,1/14/59,7.39,A
USGS,10337000,1/15/59,7.4,A
USGS,10337000,1/16/59,7.4,A
USGS,10337000,1/17/59,7.41,A
USGS,10337000,1/18/59,7.42,A
USGS,10337000,1/19/59,7.41,A
USGS,10337000,1/20/59,7.38,A
USGS,10337000,1/21/59,7.39,A
USGS,10337000,1/22/59,7.39,A
USGS,10337000,1/23/59,7.39,A
USGS,10337000,1/24/59,7.43,A
USGS,10337000,1/25/59,7.45,A
USGS,10337000,1/26/59,7.45,A
USGS,10337000,1/27/59,7.44,A
USGS,10337000,1/28/59,7.44,A
USGS,10337000,1/29/59,7.43,A
USGS,10337000,1/30/59,7.42,A
USGS,10337000,1/31/59,7.4,A
USGS,10337000,2/1/59,7.39,A
USGS,10337000,2/2/59,7.38,A
USGS,10337000,2/3/59,7.37,A
USGS,10337000,2/4/59,7.37,A
USGS,10337000,2/5/59,7.37,A
USGS,10337000,2/6/59,7.37,A
USGS,10337000,2/7/59,7.34,A
USGS,10337000,2/8/59,7.32,A
USGS,10337000,2/9/59,7.32,A
USGS,10337000,2/10/59,7.48,A
USGS,10337000,2/11/59,7.53,A
USGS,10337000,2/12/59,7.55,A
USGS,10337000,2/13/59,7.54,A
USGS,10337000,2/14/59,7.52,A
USGS,10337000,2/15/59,7.56,A
USGS,10337000,2/16/59,7.65,A
USGS,10337000,2/17/59,7.67,A
USGS,10337000,2/18/59,7.7,A
USGS,10337000,2/19/59,7.71,A
USGS,10337000,2/20/59,7.7,A
USGS,10337000,2/21/59,7.7,A
USGS,10337000,2/22/59,7.7,A
USGS,10337000,2/23/59,7.7,A
USGS,10337000,2/24/59,7.7,A
USGS,10337000,2/25/59,7.7,A
USGS,10337000,2/26/59,7.7,A
USGS,10337000,2/27/59,7.7,A
USGS,10337000,2/28/59,7.71,A
USGS,10337000,3/1/59,7.71,A
USGS,10337000,3/2/59,7.71,A
USGS,10337000,3/3/59,7.7,A
USGS,10337000,3/4/59,7.69,A
USGS,10337000,3/5/59,7.69,A
USGS,10337000,3/6/59,7.69,A
USGS,10337000,3/7/59,7.69,A
USGS,10337000,3/8/59,7.69,A
USGS,10337000,3/9/59,7.68,A
USGS,10337000,3/10/59,7.67,A
USGS,10337000,3/11/59,7.68,A
USGS,10337000,3/12/59,7.67,A
USGS,10337000,3/13/59,7.66,A
USGS,10337000,3/14/59,7.67,A
USGS,10337000,3/15/59,7.66,A
USGS,10337000,3/16/59,7.67,A
USGS,10337000,3/17/59,7.65,A
USGS,10337000,3/18/59,7.65,A
USGS,10337000,3/19/59,7.65,A
USGS,10337000,3/20/59,7.66,A
USGS,10337000,3/21/59,7.64,A
USGS,10337000,3/22/59,7.64,A
USGS,10337000,3/23/59,7.67,A
USGS,10337000,3/24/59,7.67,A
USGS,10337000,3/25/59,7.66,A
USGS,10337000,3/26/59,7.67,A
USGS,10337000,3/27/59,7.67,A
USGS,10337000,3/28/59,7.66,A
USGS,10337000,3/29/59,7.65,A
USGS,10337000,3/30/59,7.67,A
USGS,10337000,3/31/59,7.69,A
USGS,10337000,4/1/59,7.69,A
USGS,10337000,4/2/59,7.69,A
USGS,10337000,4/3/59,7.7,A
USGS,10337000,4/4/59,7.7,A
USGS,10337000,4/5/59,7.7,A
USGS,10337000,4/6/59,7.7,A
USGS,10337000,4/7/59,7.71,A
USGS,10337000,4/8/59,7.71,A
USGS,10337000,4/9/59,7.71,A
USGS,10337000,4/10/59,7.71,A
USGS,10337000,4/11/59,7.72,A
USGS,10337000,4/12/59,7.72,A
USGS,10337000,4/13/59,7.72,A
USGS,10337000,4/14/59,7.73,A
USGS,10337000,4/15/59,7.73,A
USGS,10337000,4/16/59,7.74,A
USGS,10337000,4/17/59,7.74,A
USGS,10337000,4/18/59,7.74,A
USGS,10337000,4/19/59,7.74,A
USGS,10337000,4/20/59,7.75,A
USGS,10337000,4/21/59,7.76,A
USGS,10337000,4/22/59,7.77,A
USGS,10337000,4/23/59,7.77,A
USGS,10337000,4/24/59,7.77,A
USGS,10337000,4/25/59,7.78,A
USGS,10337000,4/26/59,7.82,A
USGS,10337000,4/27/59,7.83,A
USGS,10337000,4/28/59,7.84,A
USGS,10337000,4/29/59,7.85,A
USGS,10337000,4/30/59,7.85,A
USGS,10337000,5/1/59,7.84,A
USGS,10337000,5/2/59,7.86,A
USGS,10337000,5/3/59,7.86,A
USGS,10337000,5/4/59,7.85,A
USGS,10337000,5/5/59,7.85,A
USGS,10337000,5/6/59,7.85,A
USGS,10337000,5/7/59,7.85,A
USGS,10337000,5/8/59,7.85,A
USGS,10337000,5/9/59,7.87,A
USGS,10337000,5/10/59,7.88,A
USGS,10337000,5/11/59,7.89,A
USGS,10337000,5/12/59,7.9,A
USGS,10337000,5/13/59,7.92,A
USGS,10337000,5/14/59,7.92,A
USGS,10337000,5/15/59,7.93,A
USGS,10337000,5/16/59,7.93,A
USGS,10337000,5/17/59,7.92,A
USGS,10337000,5/18/59,7.94,A
USGS,10337000,5/19/59,7.94,A
USGS,10337000,5/20/59,7.93,A
USGS,10337000,5/21/59,7.96,A
USGS,10337000,5/22/59,8.02,A
USGS,10337000,5/23/59,8.07,A
USGS,10337000,5/24/59,8.08,A
USGS,10337000,5/25/59,8.08,A
USGS,10337000,5/26/59,8.08,A
USGS,10337000,5/27/59,8.09,A
USGS,10337000,5/28/59,8.09,A
USGS,10337000,5/29/59,8.09,A
USGS,10337000,5/30/59,8.1,A
USGS,10337000,5/31/59,8.1,A
USGS,10337000,6/1/59,8.1,A
USGS,10337000,6/2/59,8.11,A
USGS,10337000,6/3/59,8.11,A
USGS,10337000,6/4/59,8.12,A
USGS,10337000,6/5/59,8.11,A
USGS,10337000,6/6/59,8.11,A
USGS,10337000,6/7/59,8.13,A
USGS,10337000,6/8/59,8.11,A
USGS,10337000,6/9/59,8.11,A
USGS,10337000,6/10/59,8.13,A
USGS,10337000,6/11/59,8.12,A
USGS,10337000,6/12/59,8.12,A
USGS,10337000,6/13/59,8.12,A
USGS,10337000,6/14/59,8.12,A
USGS,10337000,6/15/59,8.11,A
USGS,10337000,6/16/59,8.11,A
USGS,10337000,6/17/59,8.12,A
USGS,10337000,6/18/59,8.11,A
USGS,10337000,6/19/59,8.12,A
USGS,10337000,6/20/59,8.12,A
USGS,10337000,6/21/59,8.11,A
USGS,10337000,6/22/59,8.11,A
USGS,10337000,6/23/59,8.1,A
USGS,10337000,6/24/59,8.1,A
USGS,10337000,6/25/59,8.09,A
USGS,10337000,6/26/59,8.06,A
USGS,10337000,6/27/59,8.07,A
USGS,10337000,6/28/59,8.07,A
USGS,10337000,6/29/59,8.06,A
USGS,10337000,6/30/59,8.05,A
USGS,10337000,7/1/59,8.05,A
USGS,10337000,7/2/59,8.02,A
USGS,10337000,7/3/59,8.04,A
USGS,10337000,7/4/59,8.01,A
USGS,10337000,7/5/59,8.01,A
USGS,10337000,7/6/59,7.97,A
USGS,10337000,7/7/59,7.98,A
USGS,10337000,7/8/59,7.95,A
USGS,10337000,7/9/59,7.96,A
USGS,10337000,7/10/59,7.95,A
USGS,10337000,7/11/59,7.95,A
USGS,10337000,7/12/59,7.93,A
USGS,10337000,7/13/59,7.93,A
USGS,10337000,7/14/59,7.91,A
USGS,10337000,7/15/59,7.91,A
USGS,10337000,7/16/59,7.9,A
USGS,10337000,7/17/59,7.89,A
USGS,10337000,7/18/59,7.87,A
USGS,10337000,7/19/59,7.86,A
USGS,10337000,7/20/59,7.84,A
USGS,10337000,7/21/59,7.83,A
USGS,10337000,7/22/59,7.82,A
USGS,10337000,7/23/59,7.8,A
USGS,10337000,7/24/59,7.81,A
USGS,10337000,7/25/59,7.77,A
USGS,10337000,7/26/59,7.77,A
USGS,10337000,7/27/59,7.74,A
USGS,10337000,7/28/59,7.73,A
USGS,10337000,7/29/59,7.71,A
USGS,10337000,7/30/59,7.7,A
USGS,10337000,7/31/59,7.68,A
USGS,10337000,8/1/59,7.64,A
USGS,10337000,8/2/59,7.61,A
USGS,10337000,8/3/59,7.6,A
USGS,10337000,8/4/59,7.58,A
USGS,10337000,8/5/59,7.56,A
USGS,10337000,8/6/59,7.55,A
USGS,10337000,8/7/59,7.54,A
USGS,10337000,8/8/59,7.52,A
USGS,10337000,8/9/59,7.5,A
USGS,10337000,8/10/59,7.48,A
USGS,10337000,8/11/59,7.45,A
USGS,10337000,8/12/59,7.42,A
USGS,10337000,8/13/59,7.4,A
USGS,10337000,8/14/59,7.38,A
USGS,10337000,8/15/59,7.35,A
USGS,10337000,8/16/59,7.34,A
USGS,10337000,8/17/59,7.32,A
USGS,10337000,8/18/59,7.28,A
USGS,10337000,8/19/59,7.24,A
USGS,10337000,8/20/59,7.2,A
USGS,10337000,8/21/59,7.17,A
USGS,10337000,8/22/59,7.15,A
USGS,10337000,8/23/59,7.15,A
USGS,10337000,8/24/59,7.12,A
USGS,10337000,8/25/59,7.12,A
USGS,10337000,8/26/59,7.09,A
USGS,10337000,8/27/59,7.07,A
USGS,10337000,8/28/59,7.04,A
USGS,10337000,8/29/59,7.03,A
